# ----------------------------------------
# Demographic details: Country
# Account: AI TECH LABS
# Property: AI_Fusion
# ----------------------------------------
# 
# All Users
# Start date: 20260819
# End date: 20260820
Country,Date,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Ecuador,20260819,217,166,177,0.6366906474820144,0.815668202764977,72.76497695852535,5527,1532,1,6.97867
Congo - Brazzaville,20260820,212,99,238,0.8409893992932862,1.1226415094339623,180.28301886792454,7888,1624,0.8962264150943396,1.480691
Mozambique,20260819,209,99,259,0.8576158940397351,1.2392344497607655,172.01913875598086,8392,1623,0.9904306220095693,7.104449
Tunisia,20260820,209,99,220,0.7829181494661922,1.0526315789473684,185.3397129186603,9625,2205,0.9425837320574163,1.775936
Germany,20260820,206,111,197,0.8208333333333333,0.9563106796116505,127.2135922330097,8346,1967,0.912621359223301,5.441608
Argentina,20260819,205,162,200,0.7246376811594203,0.975609756097561,167.70731707317074,11904,2746,1,12.876049
France,20260819,204,123,218,0.7927272727272727,1.0686274509803921,174.12745098039215,11256,2943,0.9607843137254902,5.320599
Guinea,20260819,204,80,231,0.7623762376237624,1.1323529411764706,136.41176470588235,7566,1645,0.9950980392156863,2.394155
Mozambique,20260820,203,96,218,0.8134328358208955,1.0738916256157636,174.21182266009853,8939,1765,0.9359605911330049,2.000369
Oman,20260819,201,179,149,0.5665399239543726,0.7412935323383084,92.23383084577114,6954,2027,0.9900497512437811,3.679236
Thailand,20260820,200,143,175,0.7322175732217573,0.875,98.155,7454,2048,0.97,8.265635
Malaysia,20260819,197,148,166,0.7248908296943232,0.8426395939086294,114.4010152284264,7124,2127,1,21.739614
Senegal,20260819,192,125,220,0.8461538461538461,1.1458333333333333,178.75520833333334,10116,2203,1,2.40258
Libya,20260819,187,105,201,0.7556390977443609,1.0748663101604279,227.79144385026737,11270,2420,0.9946524064171123,1.919661
Senegal,20260820,187,108,219,0.8975409836065574,1.1711229946524064,191.36363636363637,9967,2243,0.8983957219251337,3.023115
South Sudan,20260820,183,91,187,0.8538812785388128,1.0218579234972678,132,6800,1451,0.912568306010929,3.334035
South Africa,20260819,176,142,203,0.8638297872340426,1.1534090909090908,309.96022727272725,12639,3202,0.9886363636363636,9.644023
Bolivia,20260819,175,134,163,0.6680327868852459,0.9314285714285714,124.85142857142857,6346,1611,1,1.382369
Guinea,20260820,175,70,183,0.8551401869158879,1.0457142857142858,181.8057142857143,6496,1368,0.9371428571428572,1.480563
South Africa,20260820,175,95,200,0.8968609865470852,1.1428571428571428,248.9142857142857,9475,2495,0.8971428571428571,3.863347
Ecuador,20260820,170,116,140,0.6862745098039216,0.8235294117647058,94.99411764705883,5065,1395,0.9235294117647059,1.777114
Argentina,20260820,166,108,160,0.7441860465116279,0.963855421686747,183.31927710843374,11263,1942,0.9397590361445783,2.879319
Burundi,20260819,162,79,183,0.8394495412844036,1.1296296296296295,227.98765432098764,7849,1592,1,2.398998
Dominican Republic,20260819,161,105,192,0.8067226890756303,1.1925465838509317,429.54658385093165,11941,3236,0.9937888198757764,5.579147
Thailand,20260819,160,119,164,0.7420814479638009,1.025,154.30625,7701,2125,0.99375,9.404511
Peru,20260819,156,123,139,0.6650717703349283,0.8910256410256411,104.32051282051282,5300,1505,1,8.258304
Mali,20260819,151,75,156,0.7761194029850746,1.033112582781457,122.6158940397351,5667,1279,1,7.079707
